k,alpha,l_0,f_ref
33.45259455318668,0.05302302117552446,91.63393524063903,34.760929488385194
33.63630032177696,0.06403989679100774,90.94497303002026,42.05470046497151
32.97035421370211,0.04621432958397319,92.03463683464815,29.42444148650612
33.77088415406075,0.06630592390594799,90.73439408090664,46.05108933915956
33.121579261069684,0.07126937424857266,90.32195144389523,51.00314054310103
32.491740280663294,0.05576464674110923,91.29903184739642,38.95818588592323
32.77827049545564,0.05048543708402287,91.73086237030594,33.2768201156438
33.26669478511307,0.07422662167089258,90.19038534921671,51.69440509514859
33.655375980002866,0.07424707930146236,90.19575114039307,52.572230276458455
34.47777396856907,0.055263360811361024,91.69759861299345,32.20009103558344
37.123123094369085,0.08696723081227473,89.97750658340323,54.28667665952206
36.64031119966576,0.08814061535691747,89.87483777921119,54.908021053545276
34.394517273780195,0.06421029094247763,91.0977955420824,39.95047961596735
38.57814235012766,0.10468720683861081,89.10667212151748,66.15305298163844
33.21472672805843,0.041469216157447,92.3993888741223,25.643090844580637
34.11284427424998,0.05696836747113365,91.45946475507068,36.12413242044972
36.68857078471767,0.08941897801411797,89.77571512920392,56.850564173773705
35.50235175246262,0.06058310459931906,91.42093990085083,36.54899974973823
35.085934758794636,0.07570469170797434,90.43157021675442,47.90700627600839
34.1067748866652,0.06102008885317403,91.1365331352137,41.67949513965968
32.97560459503376,0.0508913318141918,91.68468618399469,34.439617259172664
39.30741294269189,0.09722079765434519,89.68753496338252,57.99073733869665
33.77853618735011,0.06824191813340497,90.67424127720551,45.77534694336186
33.48060728565325,0.05764005257790877,91.38569157310825,36.8136329911338
33.25106960139196,0.04666315429627353,92.07855994339529,28.383846988528454
34.06092666245206,0.055916759086379816,91.57606471399214,34.17099694525504
34.09536946268251,0.0607701271913617,91.21555900260387,38.91476786157271
33.68759111414516,0.05834839980636685,91.35340251180459,36.93616188723922
33.62639878621669,0.043858020492834035,92.35409279515115,24.793793191653652
32.30991500546527,0.040024194584280845,92.33370900554924,26.798396465144464
33.64146652610703,0.06401098934958595,90.88389556026829,44.092613732264795
33.507462023745084,0.08496927772380619,89.47196536821072,61.94892528723828
33.75541283931257,0.06655227852038427,90.74347518990166,45.664165425125674
34.24457384936693,0.049911161388301886,92.02552260371986,28.310756547706706
34.13300469777438,0.05210844233342178,91.82769761614182,31.223088757338836
34.5489451365052,0.06328038714652644,91.09855689236622,40.67784597204846
33.10922263174801,0.05021425434821064,91.81532245142971,31.878396103999126
33.86905134094613,0.05687338387222645,91.43288178745887,37.14344819298694
33.84200373136605,0.07194574934387041,90.3794910262725,50.97891043087393
39.02361063983479,0.08684621562479868,90.30650389168066,49.22105890024924
38.2006623963774,0.09923058237749996,89.336997770524,63.68732497570464
33.77547808971525,0.06498674162868107,90.91031759096578,42.47489242572921
34.259906121550365,0.05991239201603253,91.31126598302748,38.104183926292954
33.41956181198852,0.05278118444011058,91.64451194460926,34.63663229884233
33.63630032177696,0.06403989679100774,90.94497303002026,42.05470046497151
33.01550087870248,0.046798451193871014,92.0017673846331,29.805286622594423
33.758608687363825,0.06717563586966754,90.67556492482409,46.791928218185944
33.121579261069684,0.07126937424857266,90.32195144389523,51.00314054310103
32.59838381987147,0.055460358503175135,91.33620219067275,38.492339721736315
32.741021354954405,0.050267294706099835,91.74103812709797,33.144778401568594
33.26669478511307,0.07422662167089258,90.19038534921671,51.69440509514859
34.63709291730191,0.07784814586466153,90.1339662492219,53.0575889248362
34.47777396856907,0.055263360811361024,91.69759861299345,32.20009103558344
36.38334348091091,0.08261551264876267,90.13099361526506,52.63875323456843
35.55078542554238,0.0802140908777892,90.17757994619795,51.83945575523541
34.394517273780195,0.06421029094247763,91.0977955420824,39.95047961596735
38.57814235012766,0.10468720683861081,89.10667212151748,66.15305298163844
33.29730775284353,0.04530024667878835,92.14647494466806,28.700984919805414
34.11284427424998,0.05696836747113365,91.45946475507068,36.12413242044972
36.68857078471767,0.08941897801411797,89.77571512920392,56.850564173773705
35.17224019118103,0.06461849440955325,91.09842632197672,40.7521438909488
35.085934758794636,0.07570469170797434,90.43157021675442,47.90700627600839
33.92916480212897,0.0598354209394965,91.17991806178802,41.23067345753171
32.97560459503376,0.0508913318141918,91.68468618399469,34.439617259172664
39.34929690148793,0.09753038093573,89.67406132470653,58.15575496288919
33.77853618735011,0.06824191813340497,90.67424127720551,45.77534694336186
33.48060728565325,0.05764005257790877,91.38569157310825,36.8136329911338
33.25106960139196,0.04666315429627353,92.07855994339529,28.383846988528454
