k,alpha,l_0,f_ref
42.043540107400254,0.057543246807298734,60.68804022917951,34.958035529139
41.82241016550187,0.05819625645254932,60.67191227500292,34.488441780848035
42.125601684522636,0.05883731020358127,60.64700495602672,34.61151283665489
42.411686745507076,0.06005122586815427,60.65444474511182,34.71181117528608
42.10177429519281,0.057584735713807615,60.70513546673896,34.14138105302967
42.19051696459307,0.05692571292328079,60.72194813591347,34.53070545879724
41.66280800750842,0.057689273973594135,60.652297757237086,34.874333545076766
42.72902769869394,0.059698380110402585,60.67481897146359,34.28917348803114
42.7094964565415,0.059564281120851104,60.68677438507713,34.445642232872224
42.32211549827664,0.05614956476047411,60.74706032146304,34.021936248120504
41.80014971296964,0.0555272552643946,60.7448827001644,34.15390250609689
42.465330590090545,0.05995645561997438,60.63770385596626,35.01343527978078
42.56734354688654,0.05930108322399578,60.66877499780306,34.8525521549396
41.77303555666438,0.05533012045734928,60.735412737766374,34.582200479761376
42.334969442424004,0.061812924106342086,60.597925335877235,34.51467084876481
42.01614312009452,0.056053132057883794,60.743069600163196,34.55149059985878
42.566749884954355,0.06152751220460831,60.60899608270666,35.005236167486544
42.36160442369058,0.05968539611215129,60.648210791581434,34.59493413318425
42.767975532580174,0.06286175022663647,60.5987451378119,34.47548259892835
42.24450459791468,0.058400738426586905,60.68205162940248,34.72720418098536
41.838852606214076,0.05867541874767278,60.64560510444789,34.68687344832648
42.72157937288232,0.059325719376954834,60.687920647180874,34.39464575454061
41.26636440147772,0.055801612631887515,60.70610747310037,33.980035009105514
41.51563154141872,0.05505172392877785,60.749903635222154,34.1761554363307
42.25276385171982,0.05925744964111765,60.652942667137665,34.41279137668936
42.643066124785015,0.05935978798743975,60.67610846156307,34.2071239170328
42.22407053062385,0.058841256244222914,60.66192311761073,34.836473285603645
42.86078976330619,0.06125379580279089,60.63181436693133,34.88289641599845
41.771985968837434,0.056078688315629885,60.71936395460475,34.18616828311705
42.01153127813071,0.05864908716383753,60.65362633181374,34.647185698518854
42.8040383258948,0.06099608352152533,60.64728567416908,34.74681297957609
42.335501612272516,0.05825506992376509,60.697962315894564,34.33025065925241
42.19047604213214,0.05891361230385849,60.66290785900358,34.812757502506564
41.787512215105636,0.058317202709136644,60.656378603513424,34.55751872223605
41.71423504121685,0.05715147509554655,60.69050519852849,34.3734999125161
42.52314265535942,0.06312105059143969,60.567623198730494,34.46959868846695
42.15483449452264,0.058636153500839755,60.68115777569439,34.52499229986889
41.512833602564186,0.054081790553140684,60.76214445340907,34.238270219063224
42.31867922653547,0.05938306298238889,60.65818795075664,34.50068066824278
42.20215941706272,0.05578614864724592,60.74456225465512,34.07138437520844
42.389976804983725,0.06029226562297717,60.638842225454795,34.698250666748145
41.90709187718858,0.05756952377068096,60.68188041841906,34.49122743638602
42.03290734357748,0.057460517962530794,60.68784886035878,34.614299550493676
41.775602824943384,0.05913870151562993,60.62889570351685,34.59109654577046
42.30747918305337,0.05808643238619575,60.700710269420675,33.96525283314242
42.55477205987506,0.06022348245156855,60.66242905935369,34.44853483310378
41.81231452338299,0.05562645102369622,60.74560190233602,34.03383252623239
42.10888686127373,0.058712388046802004,60.64980640335218,34.76999153268899
43.00409688364681,0.061899099277539206,60.61406333296048,35.22277398645669
42.223256046528775,0.05737998658031328,60.704487346551986,34.93190366359803
42.29068749646131,0.06014661419709382,60.61581906982715,35.10737121344893
42.38562197801408,0.05927846693503989,60.667600979536225,34.73407644180033
41.89581179129787,0.05714839458652358,60.69375014986817,34.34077626515451
42.1437156875533,0.05733570960196324,60.692784188626376,34.72358805326845
41.458118201692685,0.05475979197453342,60.73186191731759,34.601386940733136
42.340756193186614,0.057796903488888586,60.68411622649902,34.79776848173354
42.763048156549175,0.060628002231180964,60.65473233334397,34.74000543817385
42.04633324647225,0.05826008067818083,60.673095943599066,34.57773455982144
42.69167312967684,0.060963767457737114,60.64688159991286,34.52107346426343
42.16026182943435,0.05860481152272556,60.672916807669566,34.66233825894472
43.14036355263356,0.06281636608279707,60.612131934938745,34.72639231495874
42.726197793057906,0.059466721518291646,60.67468669073182,34.5695759093319
42.084707824638556,0.05814638742020746,60.6753104727666,34.89540521159184
41.82241016550187,0.05819625645254932,60.67191227500292,34.488441780848035
42.125601684522636,0.05883731020358127,60.64700495602672,34.61151283665489
42.33121487572096,0.06020077914552829,60.64926557183687,34.74820397576158
42.092313502970754,0.05708739432124634,60.72821649655711,33.954712716843346
42.16994658953301,0.05753146049114008,60.69820011669841,34.556311726972446
41.68618460208773,0.05734442408353235,60.66665760868288,34.72698732119998
42.56007286143249,0.05880413909538955,60.69046201916081,34.34299193203051
42.77293613870924,0.06012349425710232,60.67690162142701,34.515030705464206
42.32211549827664,0.05614956476047411,60.74706032146304,34.021936248120504
41.80014971296964,0.0555272552643946,60.7448827001644,34.15390250609689
43.24111997681014,0.0619378563154548,60.6352558173639,34.681241864229285
42.465330590090545,0.05995645561997438,60.63770385596626,35.01343527978078
42.56734354688654,0.05930108322399578,60.66877499780306,34.8525521549396
41.65288784657635,0.05515081258411675,60.732864055137206,34.704795496214224
42.34552344052702,0.061967548781002656,60.59466186065815,34.498614572222735
42.003130588189855,0.055928058182934476,60.74686577971144,34.55108270873245
42.58794816893004,0.061660605453837135,60.6063850842229,35.02264971618818
42.38199303960975,0.059647310949992184,60.65024869130523,34.620463914870086
42.767975532580174,0.06286175022663647,60.5987451378119,34.47548259892835
42.21726152315811,0.05805261953237361,60.69063111264643,34.69021508248869
41.838852606214076,0.05867541874767278,60.64560510444789,34.68687344832648
42.42577403811275,0.059043835065460334,60.67363366928057,34.49985364570087
41.46984763820968,0.05569702540560607,60.720888900273685,34.046314691758084
41.514918225747685,0.054804445945707006,60.75302434939534,34.19199118193838
42.25100070349917,0.05925162425988955,60.65286033868251,34.41554671969951
42.55205056117839,0.059227447073845,60.67507186323199,34.32973749973231
42.22407053062385,0.058841256244222914,60.66192311761073,34.836473285603645
42.86078976330619,0.06125379580279089,60.63181436693133,34.88289641599845
42.12950018807425,0.05806694970653693,60.6865473985094,34.35283628961177
42.13027021735448,0.05876223807829536,60.659361254079144,34.604954298587984
42.592369183657794,0.059755781396586286,60.67005907068043,34.41365595651616
42.335501612272516,0.05825506992376509,60.697962315894564,34.33025065925241
42.19047604213214,0.05891361230385849,60.66290785900358,34.812757502506564
41.787512215105636,0.058317202709136644,60.656378603513424,34.55751872223605
41.71423504121685,0.05715147509554655,60.69050519852849,34.3734999125161
42.07526566860978,0.05623816061722072,60.73534893784397,34.49742118176571
42.52314265535942,0.06312105059143969,60.567623198730494,34.46959868846695
42.18946719543533,0.058867503293020526,60.67770162246812,34.55564251802815
41.51078110061492,0.054066123981821416,60.76257355910988,34.23143326779847
42.63772620306384,0.06014605037128801,60.649364704458456,34.508548940367646
42.20215941706272,0.05578614864724592,60.74456225465512,34.07138437520844
42.389976804983725,0.06029226562297717,60.638842225454795,34.698250666748145
41.90709187718858,0.05756952377068096,60.68188041841906,34.49122743638602
42.334946799377754,0.05884443377867634,60.66740558544733,34.71229275478627
41.808487620160484,0.0602073641402454,60.60103457362389,34.560627838922315
42.30747918305337,0.05808643238619575,60.700710269420675,33.96525283314242
42.38046100054881,0.05945166746098512,60.67740083600388,34.365825926634336
41.81231452338299,0.05562645102369622,60.74560190233602,34.03383252623239
42.10888686127373,0.058712388046802004,60.64980640335218,34.76999153268899
42.81053991542911,0.062390865806904,60.59537379650045,34.91966338124491
42.223256046528775,0.05737998658031328,60.704487346551986,34.93190366359803
42.198431629813314,0.058771070660713486,60.658579399187836,34.920577193340996
42.6235528858758,0.06135546495273675,60.61900194054938,34.85165506424294
41.929839023180065,0.05683867680640257,60.707696678908235,34.40036195742258
42.15040225236289,0.057366731164424804,60.69240522627315,34.725623629553
41.539912556220116,0.054872621989625656,60.733258097896496,34.54312240262765
42.14464356939659,0.0553291277205194,60.72927139908031,34.76039944823282
42.7550933544256,0.06060184018579151,60.65478653410873,34.742549488008464
42.567627894237724,0.06164990561804594,60.59468971020127,34.95613176437775
42.55566540132516,0.06043700324304584,60.647429305090924,34.55150840587488
42.26657651554717,0.05907585161750998,60.660645299110676,34.784693525623105
42.89423875968857,0.062301425054924815,60.609571465979606,34.85838771857543
42.726197793057906,0.059466721518291646,60.67468669073182,34.5695759093319
42.348075478552765,0.0591162115335407,60.66454035665482,34.81006901189756
41.82241016550187,0.05819625645254932,60.67191227500292,34.488441780848035
42.125601684522636,0.05883731020358127,60.64700495602672,34.61151283665489
42.33121487572096,0.06020077914552829,60.64926557183687,34.74820397576158
42.092313502970754,0.05708739432124634,60.72821649655711,33.954712716843346
42.16994658953301,0.05753146049114008,60.69820011669841,34.556311726972446
41.74082943650489,0.05752527971090489,60.6653689457051,34.71862157915583
42.56007286143249,0.05880413909538955,60.69046201916081,34.34299193203051
42.7366082214837,0.06042309229507784,60.66282122905094,34.59689304016279
42.32211549827664,0.05614956476047411,60.74706032146304,34.021936248120504
41.82630243516088,0.055593529263429524,60.74413619671,34.15041017582292
42.92835746149205,0.061253039846446054,60.64081039497979,34.62204645696669
42.426452253281575,0.059828381406318604,60.638768267309885,34.96743955831336
42.56734354688654,0.05930108322399578,60.66877499780306,34.8525521549396
41.65288784657635,0.05515081258411675,60.732864055137206,34.704795496214224
42.34627944911269,0.062190786170121304,60.58946220608744,34.48334105217894
42.10671218697459,0.05694490782441402,60.72045051356529,34.57005164120495
42.65124303240825,0.0620393224076831,60.59913594999021,35.048120854499246
42.38199303960975,0.059647310949992184,60.65024869130523,34.620463914870086
42.60443921759767,0.06165290535863868,60.61774090723336,34.584021932873696
42.21726152315811,0.05805261953237361,60.69063111264643,34.69021508248869
41.727973268312404,0.058471303026028286,60.645083292284376,34.711623926314594
