Format Version,1.24,Take Name,Take 2024-02-14 04.05.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.05.12.771 PM,Capture Start Frame,396467,Total Frames in Take,1977,Total Exported Frames,1977,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
55,0.458333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
56,0.466667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
57,0.475000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
58,0.483333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
59,0.491667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
60,0.500000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
61,0.508333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
62,0.516667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
63,0.525000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
64,0.533333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
65,0.541667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
66,0.550000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
67,0.558333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
68,0.566667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
69,0.575000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
70,0.583333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
71,0.591667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
72,0.600000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
73,0.608333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
74,0.616667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
75,0.625000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
76,0.633333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
77,0.641667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
78,0.650000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
79,0.658333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
80,0.666667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
81,0.675000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
82,0.683333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
83,0.691667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
84,0.700000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
85,0.708333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
86,0.716667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
87,0.725000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
88,0.733333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
89,0.741667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
90,0.750000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
91,0.758333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
92,0.766667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
93,0.775000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
94,0.783333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
95,0.791667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
96,0.800000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
97,0.808333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
98,0.816667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
99,0.825000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
100,0.833333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
101,0.841667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
102,0.850000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
103,0.858333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
104,0.866667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
105,0.875000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
106,0.883333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
107,0.891667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
108,0.900000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
109,0.908333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
110,0.916667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
111,0.925000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
112,0.933333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
113,0.941667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
114,0.950000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
115,0.958333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
116,0.966667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
