=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:05:10 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
7196,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7256,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7316,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7376,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7436,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7496,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7557,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7617,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7677,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7737,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7797,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7858,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7919,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
7981,0.02,0.09,-0.07,0.00,0.06,-0.03,3,0,3,0
8041,0.21,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8100,0.37,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8164,0.48,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8226,0.46,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8287,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8348,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8410,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8471,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8535,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8597,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8657,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8718,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8778,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8839,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8899,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
8960,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9021,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9082,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9144,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9205,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9268,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9328,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9389,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9450,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9510,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
