=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:49:55 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
2329,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2390,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2450,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2509,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2570,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2630,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2691,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2750,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2810,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2870,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2930,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
2991,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3050,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3110,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3171,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3231,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3292,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3351,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3411,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3471,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3531,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3592,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3652,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3712,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3772,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3832,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3893,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
3953,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4014,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4075,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4134,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4196,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4259,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4322,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4383,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4444,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4504,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4566,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4628,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4690,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4752,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4813,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4875,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4934,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
4996,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5057,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5121,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5183,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5244,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5306,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5366,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5430,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5491,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5552,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5614,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5675,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5736,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5796,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5859,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5922,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
5984,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6046,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6107,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6169,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6232,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6294,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6353,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6415,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6475,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6537,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6598,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6661,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6722,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6785,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6845,-0.00,0.10,-0.06,-0.00,0.06,-0.02,3,0,3,0
6905,-0.00,0.10,-0.06,0.04,0.06,-0.02,3,0,3,0
6966,-0.00,0.10,-0.06,0.06,0.06,-0.02,3,0,3,0
7028,-0.00,0.10,-0.06,0.06,0.06,-0.02,3,0,3,0
7089,-0.00,0.10,-0.06,0.06,0.06,-0.02,3,0,3,0
7151,-0.00,0.10,-0.06,0.06,0.06,-0.02,3,0,3,0
7213,-0.00,0.10,-0.06,0.08,0.06,-0.02,3,0,3,0
7274,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7335,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7396,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7456,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7517,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7578,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
7639,-0.00,0.10,-0.06,0.09,0.06,-0.02,3,0,3,0
