ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood_kde,gt_log_likelihood_posterior,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
MCL,0.06,0.08,0.28017857142857144,5409.109043602528,24.61174754062217,0.8634357901463902,-11.283781684415828,1.9999999999999996,-0.3333333333333333,1.9999999999999996,33.74336923743454,0.8309590436175989,33.69686506683342,33.5,0.04889203721425914,0.01936963702840117,0.046077003938482256,0.06,88.16929391946847,1.338963221280195,87.97357231250791,87.77777777777777,151.3399553885744,39.97037178630865,148.67926917628793,147.02777777777814
LCL,0.06,0.1,0.3925,20612.274276537417,3375.7547876842727,0.9132298104470186,-11.130701502497406,2.3333333333333326,0.0,0.0,42.770383094445215,0.3829900069462784,42.75161241820928,42.8,0.05163811887083039,0.021690543526892116,0.04882413294779371,0.06,58.817257319851116,1.0499084324854013,58.67638747748542,59.52830188679245,118.14813635304121,42.353122554988445,119.13432190025665,76.43433962264179
MCL,0.06,0.1,0.2113839285714286,4778.041732069919,113.0384469735477,-4.9891653137287,-inf,2.3333333333333326,0.0,2.3333333333333326,38.210805114303334,5.573740110098877,36.02834735733055,33.5,0.06674054362093736,0.026392840380378542,0.06718505358256438,0.06,88.42581904778369,1.2228083722005005,88.33771259574372,86.18181818181817,129.2971687862602,29.902413287730464,126.02883534300177,202.09636363636406
LCL,0.08,0.02,0.46406250000000004,25530.513722734864,57.38335026204227,4.518028950671905,-20.446106429258244,0.0,-4.666666666666666,-4.666666666666666,43.87020547539765,0.8752169875151464,43.890014381308134,42.8,0.06523857302048358,0.012030121679965358,0.06576116315197224,0.06,58.304182419754866,0.5206841037318815,58.28682083239493,58.425925925925924,126.49077645300187,9.02970984921208,126.71883690604238,125.03148148148153
MCL,0.08,0.02,0.3776785714285714,23185.325086390574,126.70223122785814,5.851147020664323,-18.62003969472971,0.0,-4.666666666666666,0.0,32.671861057149236,0.6690093214274814,32.650664488123965,33.5,0.05454842173585671,0.0049688934753875395,0.054316472670662225,0.06,93.15523249489058,0.26562864277874104,93.16465436318951,92.94117647058823,8.789822121701764,2.688668216743969,8.598450375487918,10.378431372549025
LCL,0.08,0.04,0.42441964285714284,20805.08352843504,36.91514841898826,2.6217463424436085,-16.367379014686207,0.3333333333333333,-3.333333333333332,-3.333333333333332,42.59102004268874,0.5831909862699743,42.55280145961462,42.8,0.04907746995908737,0.015709740810064824,0.048928539536935045,0.06,58.614270168341285,0.7145864598050725,58.57541429558471,58.425925925925924,129.6780801096819,21.166446736336628,127.78078597291437,125.03148148148153
MCL,0.08,0.04,0.3046428571428571,26770.156946857784,53.013020482230935,-5.588663877165225,-23.320435619214585,0.3333333333333333,-3.333333333333332,0.3333333333333333,36.62753779184826,2.3363812488733835,36.15589502410256,33.5,0.10267448690395442,0.01332370495572163,0.10561374629476705,0.06,88.81591472615509,0.6774917863328196,88.75071532766187,91.15384615384615,71.65158114555967,10.032990684896289,72.06132723052495,40.71538461538473
LCL,0.08,0.06,0.34875,12103.785346073419,28.10777990142437,1.5374572764564676,-13.062476777038572,0.6666666666666666,-1.9999999999999996,-1.9999999999999996,43.271652288585145,0.5877738918706557,43.24445089756717,42.8,0.04745710191979167,0.018424862811604704,0.04423464583071671,0.06,58.54457108229025,0.8410994860164384,58.361601722382325,58.425925925925924,136.7533965813264,28.09027205489772,136.48568192429724,125.03148148148153
MCL,0.08,0.06,0.3409821428571429,13700.823284575685,69.55461016458293,-1.1911050711411242,-14.412607160198426,0.6666666666666666,-1.9999999999999996,0.6666666666666666,33.0444339180219,0.3654546872775102,33.04586713691857,33.5,0.04698794783330806,0.020675262469713344,0.0424367076213662,0.06,88.28229797082615,1.6084567147826148,87.99440644239206,89.43396226415094,146.87425828843436,48.8813197704107,146.0449132718411,89.88113207547178
LCL,0.08,0.08,0.3829910714285714,5546.163830090045,44.55887686114388,0.4916435692761343,-8.60508949972139,0.9999999999999998,-0.6666666666666666,-0.6666666666666666,42.684761812657975,0.7451057329736622,42.67604591458553,42.8,0.050905115070909876,0.02255703514443308,0.04667299957503047,0.06,58.84428217758361,1.0465768054055868,58.62264959376751,58.425925925925924,117.48091511894154,36.40519671132655,116.58265281755294,125.03148148148153
MCL,0.08,0.08,0.2408482142857143,2828.6086111753507,80.30269525055269,-2.700539593750033,-8.693500401770471,0.9999999999999998,-0.6666666666666666,0.9999999999999998,33.41267289592934,1.2242851917112993,33.29532417935384,33.5,0.05440995876839707,0.023331373708106146,0.053412674041560124,0.06,88.95312540915599,1.6962243588136119,88.72868122734552,87.77777777777777,117.01015384049165,38.86071583922423,121.10243305563571,147.02777777777814
LCL,0.08,0.1,0.3583482142857143,9303.262225990793,2057.2829316681373,0.3815990031407392,-9.556779863454633,1.6666666666666665,0.0,0.0,43.41681310788595,0.8441576109169338,43.327467218545394,42.8,0.05689331010682821,0.022774291474205014,0.05423551902921797,0.06,59.16272849865093,1.2043947476726986,58.994154165168766,58.425925925925924,98.6653776275329,44.572067680518835,98.45214448519533,125.03148148148153
MCL,0.08,0.1,0.22375,2287.3070031475286,195.06418767167912,-5.928354018930844,-inf,1.6666666666666665,0.0,1.6666666666666665,39.824700536504366,5.983995886445569,39.072804862038716,33.5,0.07305584087428958,0.022857082623832667,0.07629384835562769,0.06,88.75549301497546,1.5097032370237,88.71167382932313,86.18181818181817,113.31498271711416,34.47549818083587,111.19280362832627,202.09636363636406
LCL,0.1,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.8,nan,nan,nan,0.06,nan,nan,nan,57.36363636363636,nan,nan,nan,171.86145454545485
MCL,0.1,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.5,nan,nan,nan,0.06,nan,nan,nan,92.94117647058823,nan,nan,nan,10.378431372549025
LCL,0.1,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.8,nan,nan,nan,0.06,nan,nan,nan,57.36363636363636,nan,nan,nan,171.86145454545485
MCL,0.1,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.5,nan,nan,nan,0.06,nan,nan,nan,91.15384615384615,nan,nan,nan,40.71538461538473
LCL,0.1,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.8,nan,nan,nan,0.06,nan,nan,nan,57.36363636363636,nan,nan,nan,171.86145454545485
MCL,0.1,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.5,nan,nan,nan,0.06,nan,nan,nan,89.43396226415094,nan,nan,nan,89.88113207547178
LCL,0.1,0.08,0.23723214285714286,3488.560225054635,24.902664701964827,-3.0145411256956054,-inf,0.3333333333333333,-1.3333333333333333,-1.3333333333333333,45.77598305151606,5.745216975716016,43.46411944465186,42.8,0.05963593984211877,0.02455115135307824,0.05810505069285464,0.06,59.1517810212539,0.9514196737867808,59.128587070572,57.36363636363636,100.41261341005564,27.777935035205193,96.36087895243702,171.86145454545485
MCL,0.1,0.08,0.2639732142857143,5606.40224780443,86.43490817628812,-2.5579751919273814,-11.69005366242046,0.3333333333333333,-1.3333333333333333,0.3333333333333333,37.95659786558696,4.790208863405177,35.110782103472914,33.5,0.0759703817705949,0.029077136805287507,0.07858604425695816,0.06,87.68327085229801,0.9662370346218627,87.57759674511875,87.77777777777777,143.9639483664846,42.35588970442826,135.6426216718327,147.02777777777814
LCL,0.1,0.1,nan,nan,nan,nan,nan,0.6666666666666666,0.0,0.0,nan,nan,nan,42.8,nan,nan,nan,0.06,nan,nan,nan,57.36363636363636,nan,nan,nan,171.86145454545485
MCL,0.1,0.1,nan,nan,nan,nan,nan,0.6666666666666666,0.0,0.6666666666666666,nan,nan,nan,33.5,nan,nan,nan,0.06,nan,nan,nan,86.18181818181817,nan,nan,nan,202.09636363636406
