lcl_strain,mcl_strain,acceptance_rate,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.02,0.02,0.5453124999999999,43.336107158708465,0.3955185366898722,43.33099396647773,42.8,0.060248807745615945,0.0017202041767701629,0.0601909117592992,0.06,61.89439986661836,0.0401460125840381,61.8920287503545,61.86274509803921,8.809714650707624,0.20549236989872202,8.811465612318942,8.825751633986991
0.02,0.04,0.5298214285714286,42.9469787152075,0.43234066817347505,42.937840112581746,42.8,0.06224369018597038,0.0018603935487007978,0.062240616724752104,0.06,61.78864976982456,0.042821855819250715,61.78807372914228,61.86274509803921,9.219667991257504,0.2893337788621168,9.206616014631061,8.825751633986991
0.02,0.06,0.5295982142857143,42.74674088004762,0.38519111184786475,42.74817008176693,42.8,0.05988609482908308,0.0019763068605101694,0.059758972984545,0.06,61.86944611005917,0.04957243680409138,61.87003787692182,61.86274509803921,8.836662024714645,0.39692196593937656,8.827150533800852,8.825751633986991
0.02,0.08,0.4430357142857143,42.93998052197671,0.32512294878564607,42.935550300548506,42.8,0.060201016126557406,0.0028670032523647583,0.06012382167926047,0.06,61.864080980881035,0.0959121021520463,61.864890176933756,61.86274509803921,8.949841330795932,1.004494608355991,8.853597219565508,8.825751633986991
0.02,0.1,0.4253571428571429,43.12660584229431,0.2640851108146584,43.10840607510533,42.8,0.060268256549432804,0.0046868238116751565,0.05993632633731526,0.06,61.93459696077567,0.1822606366905688,61.944723568398864,61.86274509803921,7.044403444998291,2.349233991507612,6.82221280413291,8.825751633986991
0.04,0.02,0.5470982142857143,42.24175063178025,0.37055086204424126,42.23469166919143,42.8,0.05865138368660001,0.001853467071755397,0.05876285422055326,0.06,60.67263008585542,0.039057682381930775,60.67102317459172,60.67307692307692,34.56335825354061,0.26427885170688675,34.565838475410914,34.6241025641027
0.04,0.04,0.5429464285714285,42.82590078700304,0.3680615324730198,42.80887148315227,42.8,0.06070524715117864,0.0019002091311553957,0.060644905421417164,0.06,60.62475442872445,0.04759104881472377,60.623554598773524,60.67307692307692,35.76368755609977,0.39815331653178043,35.76018147340121,34.6241025641027
0.04,0.06,0.5544642857142856,42.491153219724566,0.30165866120478574,42.48870080884864,42.8,0.06111418913869245,0.003092837821931503,0.06090363751011242,0.06,60.59224910106287,0.10291316103153202,60.59441381771259,60.67307692307692,35.816315921322555,1.132993493406239,35.802716617378,34.6241025641027
0.04,0.08,0.5053125,42.68678289122526,0.2702344178116141,42.66771375683845,42.8,0.06491488355174817,0.008360080944417175,0.06433215119331084,0.06,60.47134826109563,0.3551264147516795,60.4987174925532,60.67307692307692,37.055774516167084,5.403978087140996,36.58291933954857,34.6241025641027
0.04,0.1,0.3559375,42.733538866593555,0.28445573087828485,42.74926600859669,42.8,0.08486625859964315,0.024216682327419827,0.08929914301800458,0.06,59.34237416296778,1.116959112766173,59.16313220313069,60.67307692307692,62.49158594925369,22.619353989545647,65.06077804642905,34.6241025641027
0.06,0.02,0.5559375,42.71853152403557,0.3506571060882016,42.69914935531392,42.8,0.06090977311700605,0.001862647516626266,0.060889102613487525,0.06,59.49655456439891,0.04513659468441809,59.497699923176654,59.52830188679245,76.54045538173908,0.3604571801495241,76.51555337679224,76.43433962264179
0.06,0.04,0.5614285714285714,42.317046585410814,0.2846473680736681,42.31383482375049,42.8,0.05644708157636491,0.0024889986623746287,0.05646872712047249,0.06,59.59605334700322,0.07754780606769415,59.59568667392574,59.52830188679245,76.75787854070902,0.7953963315471355,76.75805101693223,76.43433962264179
0.06,0.06,0.5460714285714285,43.268571454045734,0.3595840879530226,43.25430266109963,42.8,0.07708909875345032,0.00855512857867831,0.07704841215351939,0.06,58.88767118193573,0.3433038494233316,58.88748199752077,59.52830188679245,85.13946346664581,5.342750408686972,84.95939315214352,76.43433962264179
0.06,0.08,0.4654017857142857,43.15473008618513,0.3131042662321284,43.16533019902398,42.8,0.08530719989488612,0.01542303014928944,0.08668130887677115,0.06,58.44985796039589,0.6933537667103866,58.38836823013712,59.52830188679245,94.3344072833732,12.317542375485086,95.57857187117052,76.43433962264179
0.06,0.1,0.40308035714285717,42.732209509279805,0.1844037818668357,42.72360343416174,42.8,0.04711382679204444,0.02099205192223794,0.04288924701641594,0.06,58.97468323836348,1.0962131113012301,58.76677979439253,59.52830188679245,117.16342174233186,42.644895868673,113.8371989018298,76.43433962264179
0.08,0.02,0.553125,42.53535286697565,0.29206034365811334,42.532666223623295,42.8,0.06084382810539078,0.0023258656767460215,0.06087175921113719,0.06,58.37224177144078,0.07176068856673971,58.37154504814616,58.425925925925924,125.80232676894937,0.7429082894339339,125.8046168830865,125.03148148148153
0.08,0.04,0.5425000000000001,42.56402657336088,0.3115357879658865,42.59426141756041,42.8,0.06747228614239731,0.007297352168335779,0.06756447014857563,0.06,58.101228871306425,0.29362226985967527,58.09530889993002,58.425925925925924,130.03866449263387,4.440227900165309,130.04600967376288,125.03148148148153
0.08,0.06,0.5019642857142858,42.68450675163673,0.26520637350926135,42.689764453692,42.8,0.05020120550754436,0.013030559246478758,0.04898779344183856,0.06,58.90704025272477,0.6048799543698644,58.957974203765204,58.425925925925924,115.81358645706402,10.493091688477058,114.71867800189902,125.03148148148153
