lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.02,0.02,0.41656250000000006,30383815.846228622,11822.318521197889,-24930860.734704927,4.666666666666666,-7.000000000000001,3.333333333333332,20.81166097615899,0.0523744560176324,20.812061937102108,42.8,0.07266296789154762,0.027686558708498017,0.07511106570193721,0.06,60.28794168688131,1.677757120644916,60.271123495750906,61.86274509803921,656.047470476411,40.596324754943595,656.8872652569667,8.825751633986991
0.02,0.04,0.40459821428571424,26155447.74316953,8614.04772309845,-14559780.603954127,4.666666666666666,-5.0,4.666666666666666,25.51670445133537,0.06837420345454034,25.517277191936564,42.8,0.06952187902471996,0.03091170279835074,0.07068523909830696,0.06,60.33380459300093,1.620819998641412,60.482941740633656,61.86274509803921,781.9874390036827,50.1152782035492,777.9806135715222,8.825751633986991
0.02,0.06,0.4007589285714286,22909762.475717336,5976746.246228916,-11623027.69963071,5.0,-2.999999999999999,5.0,29.254410274815392,0.09715202411414328,29.259094974146954,42.8,0.06845359933404475,0.0289721749068898,0.06544996160774126,0.06,60.25598135400136,1.665657439574057,60.22036288296992,61.86274509803921,864.7898004580987,53.57857622850048,868.1561385757775,8.825751633986991
0.02,0.08,0.39937500000000004,17932537.387438312,4173561.520507442,-9492585.051844465,5.333333333333333,-1.3333333333333333,5.333333333333333,32.42151701784267,0.14640669082773564,32.41812762442834,42.8,0.0708204697340125,0.02937817469933615,0.07266016087272574,0.06,60.064127570508894,1.5137957948961762,59.942828101508795,61.86274509803921,919.2079544968219,56.34655958330894,923.5090589803774,8.825751633986991
0.02,0.1,0.4055357142857143,20542756.627485327,3036912.092918166,-6526754.018124183,6.000000000000001,0.0,6.000000000000001,33.53570092796201,0.16840685359161953,33.53388604799055,42.8,0.07572862201040846,0.03058193178184892,0.08075683200678821,0.06,60.59127692440947,1.6000313105936244,60.76056335656064,61.86274509803921,877.3201716014554,67.67267614634954,871.0854875139828,8.825751633986991
0.04,0.02,0.41120535714285716,28775184.350400105,9680.606084998686,-21313107.89897821,3.6666666666666656,-7.000000000000001,3.333333333333332,22.43472648550636,0.059460196639716106,22.433302779168113,42.8,0.07142549462779842,0.02971268385168655,0.07094430903645298,0.06,60.08724906425335,1.6032438003579357,59.97172829322608,60.67307692307692,745.3629902314696,42.624120286449354,745.2439825174629,34.6241025641027
0.04,0.04,0.40995535714285714,27393596.117287476,8924.79398477086,-15980215.821043182,3.6666666666666656,-5.0,3.6666666666666656,27.280349422742717,0.09227338568328504,27.28064712661289,42.8,0.06958662944667368,0.030452506696141517,0.07059745300308165,0.06,59.89624227138807,1.5472678923003353,59.74779896389789,60.67307692307692,880.8992909836995,49.36521227500951,880.8892097659416,34.6241025641027
0.04,0.06,0.3924107142857143,21881751.13981152,7020.315574961332,-8152297.936614331,3.999999999999999,-2.999999999999999,3.999999999999999,30.638199747749123,0.12451427485052781,30.637372642664396,42.8,0.07105804518413246,0.02930592648930453,0.0710244114143268,0.06,60.467805505232995,1.6640544924313478,60.556189381092935,60.67307692307692,926.8694937476364,57.184163183064804,925.6465630445148,34.6241025641027
0.04,0.08,0.39535714285714285,20425599.815209158,3969783.447037725,-6371724.051078108,4.333333333333333,-1.3333333333333333,4.333333333333333,33.54332930906632,0.1613064384890837,33.55081318708566,42.8,0.06692033193747599,0.028914047680724288,0.06254163907693225,0.06,60.17067861455541,1.7764395779926634,60.12244805892488,60.67307692307692,981.3828827945108,68.49930287065153,979.1865741342671,34.6241025641027
0.04,0.1,0.4007589285714286,16427843.607072819,2867859.7916661487,-5487154.376473388,5.0,0.0,5.0,33.42852918524397,0.2390047375403692,33.4361385393278,42.8,0.07608866291915793,0.029503346385142657,0.08096833651274263,0.06,60.43945236241957,1.72113366672832,60.544147847469766,60.67307692307692,904.4886662265287,64.67889291591207,903.791520626181,34.6241025641027
