ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
LCL,0.06,0.04,0.532544642857143,5352.279387290835,85.01447769775477,8.094948902599326,2.666666666666666,-5.0,-5.0,42.95556146600642,0.2958345040496267,42.95440701027902,42.8,0.058800168471048714,0.0024977984370034853,0.05883302704106737,0.06,59.588177164795894,0.0782260819630693,59.5878796608626,59.52830188679245,75.94443882696237,0.8204733537316578,75.95068745105051,76.43433962264179
MCL,0.06,0.04,0.385,54441.585084255166,58.67750718218878,-5.602518675538865,2.666666666666666,-5.0,2.666666666666666,34.05343795375579,0.30962259500194206,34.06704808704457,33.5,0.06863879479951973,0.005004523297005736,0.06866770549736337,0.06,90.71380388739756,0.2974998572515374,90.72947674068573,91.15384615384615,46.11593628499426,3.4633551330549173,45.883287828143274,40.71538461538473
LCL,0.06,0.06,0.5615178571428572,39356.33428208352,135.93784530547606,5.749210448261294,2.999999999999999,-3.333333333333332,-3.333333333333332,42.7523287356244,0.31328320419119776,42.73306946714677,42.8,0.06403095652172994,0.007352191368414366,0.06366740559173793,0.06,59.34003051116801,0.2937092714427483,59.355833557087145,59.52830188679245,79.21494971091941,4.314902069777022,78.73675697106566,76.43433962264179
MCL,0.06,0.06,0.4652232142857143,61483.9403782269,36.884356953524644,4.166488776066453,2.999999999999999,-3.333333333333332,2.999999999999999,33.18279965088515,0.23121723304893815,33.17928257138867,33.5,0.054397734621810204,0.018197552936648022,0.05136839897125459,0.06,89.72578202642384,1.3223573605194814,89.93860502331957,89.43396226415094,87.06292276145932,18.604733701952593,83.51918670000008,89.88113207547178
LCL,0.06,0.08,0.48830357142857145,51382.17116760833,25.914463864759334,4.113464360135875,3.333333333333332,-1.9999999999999996,-1.9999999999999996,42.341526872829554,0.2416032247873157,42.31582783455047,42.8,0.04611625765709876,0.01526783065177129,0.044550181490143,0.06,60.13934904437088,0.7177559012672767,60.2079026033029,59.52830188679245,66.16637672458644,12.107255412958882,64.9941598836519,76.43433962264179
MCL,0.06,0.08,0.42312500000000003,50225.25959349409,99.11085041868671,0.7569272761556766,3.333333333333332,-1.9999999999999996,3.333333333333332,33.26651740450059,0.22476369166117924,33.260647722061314,33.5,0.04502923649366051,0.01536279356516697,0.043521901214301925,0.06,87.83483009274472,1.1059443356586007,87.70999842706755,87.77777777777777,166.43206540422378,36.03757707635212,162.32662810565648,147.02777777777814
LCL,0.06,0.1,0.4470982142857143,61976.15530846886,37.35383351589546,-1.347109069328573,3.999999999999999,-0.6666666666666666,-0.6666666666666666,42.41059005418489,0.1747610430778449,42.408726091592456,42.8,0.04967350389705584,0.019011747047292117,0.04911327872077556,0.06,58.78960251260424,0.9844952442418473,58.61509695610026,59.52830188679245,120.04722214115938,34.54781322693612,119.79107313354666,76.43433962264179
MCL,0.06,0.1,0.3939285714285714,36066.851376027815,211.80174809098844,0.7256750886063853,3.999999999999999,-0.6666666666666666,3.999999999999999,33.66581168916905,0.2940548500824545,33.6671261493744,33.5,0.041842446497098236,0.015504854891532291,0.03888441404637401,0.06,87.71955190863434,1.008782482131716,87.52912512403108,86.18181818181817,176.8885768500851,29.645260618089285,173.6033459014675,202.09636363636406
LCL,0.08,0.02,0.5505803571428571,6183.225942505659,37.327922081970726,-9.632417327959049,1.3333333333333333,-7.000000000000001,-7.000000000000001,43.581770299205864,0.3649130391982916,43.58310789502484,42.8,0.06867895423934205,0.0027979728152848398,0.06869488667323861,0.06,58.15465073714862,0.08000660013603497,58.15332731025997,58.425925925925924,127.8587301598586,0.830506266096284,127.81557135027712,125.03148148148153
MCL,0.08,0.02,0.3823214285714286,34171.55250098027,36.16115746576217,7.619490864852453,1.3333333333333333,-7.000000000000001,1.3333333333333333,33.548817798082545,0.28512895388341347,33.54328179202262,33.5,0.061310811371830184,0.002756950375528374,0.06121419790007748,0.06,92.84236029070226,0.14344210110222277,92.84719705781009,92.94117647058823,11.670980587688684,1.3167156709948056,11.638844186504436,10.378431372549025
LCL,0.08,0.04,0.5476785714285715,37759.58793579141,222.62085857688336,6.433376769945405,1.6666666666666665,-5.0,-5.0,42.84820072178642,0.30672560899198303,42.84995271656361,42.8,0.05832625581496902,0.006859418954294856,0.05806052048284467,0.06,58.50686428619745,0.2715060696632682,58.52286350394696,58.425925925925924,124.01824926294871,3.9376230966140846,123.79325015232517,125.03148148148153
MCL,0.08,0.04,0.3553125,58050.44426593705,297.5769595624629,5.463757545898502,1.6666666666666665,-5.0,1.6666666666666665,33.680447037648925,0.2579684237840069,33.67479647738159,33.5,0.05367670124065489,0.005720439443210017,0.05324531370824353,0.06,91.61722848492339,0.37316049624348174,91.65251343174214,91.15384615384615,35.07361833110947,4.5314287738163515,34.4314111679567,40.71538461538473
LCL,0.08,0.06,0.4833928571428572,48520.26784179544,130.0485412776851,1.959647728757177,1.9999999999999996,-3.6666666666666656,-3.6666666666666656,43.402416432352375,0.30724636020771867,43.379709130705436,42.8,0.05196762974250218,0.0175289128886265,0.05139677786555169,0.06,58.92018647030608,0.7866690474581257,58.95774249420399,58.425925925925924,115.32195744465521,13.220542753643919,113.8566288244676,125.03148148148153
MCL,0.08,0.06,0.3968303571428572,60413.00781176338,346.85485441155237,3.4674828051260143,1.9999999999999996,-3.6666666666666656,1.9999999999999996,33.58938986395985,0.25332690612374625,33.58963238012104,33.5,0.07192907568917961,0.019741490781806557,0.0725231771637585,0.06,88.69253134964839,1.4608170875723279,88.62466959105501,89.43396226415094,99.05978521617313,21.999563259124013,99.7308948354185,89.88113207547178
LCL,0.08,0.08,0.4648660714285714,55020.53709673696,41.77635252450542,2.7912475940740378,2.666666666666666,-2.3333333333333326,-2.3333333333333326,42.94705027452284,0.19056886978447307,42.94879699592413,42.8,0.04241351814927106,0.014742951029325449,0.04128928028264988,0.06,58.48531002378277,0.7713809803941182,58.35659004887395,58.425925925925924,145.36774127026692,29.086019078865903,145.1913118351162,125.03148148148153
MCL,0.08,0.08,0.4316517857142857,48256.188981360145,111.31956214239479,2.508232304960244,2.666666666666666,-2.3333333333333326,2.666666666666666,33.57892942180675,0.2098527112750136,33.58356855666912,33.5,0.04238620560378082,0.01648961441375013,0.039522120681585546,0.06,87.89208317415576,1.2823672844383691,87.54555175927102,87.77777777777777,169.57462414071196,38.1435778174826,169.37909586268574,147.02777777777814
LCL,0.08,0.1,0.4570089285714286,49307.39858380518,64.98881404731313,2.5110160860501973,2.999999999999999,-1.3333333333333333,-1.3333333333333333,42.64039386575347,0.18656693779910288,42.64404788261834,42.8,0.04680392693411104,0.017571507965871123,0.046783762064934106,0.06,58.47255283588986,0.784632356664396,58.317114020182345,58.425925925925924,138.68778735636482,31.831636181169365,136.4589744750141,125.03148148148153
MCL,0.08,0.1,0.41066964285714286,32301.372728415936,88.27226732008447,1.322002250035534,2.999999999999999,-1.3333333333333333,2.999999999999999,33.55396404904003,0.26114499191945684,33.53896669635168,33.5,0.0429105794278623,0.0171106824577726,0.03864614456282638,0.06,87.79672201939368,1.2001377831430753,87.48553392445439,86.18181818181817,171.96545149300644,36.95391596546322,171.39687808402397,202.09636363636406
LCL,0.1,0.02,0.5105357142857143,33382.57277038508,91.38039955216405,5.811464768251209,0.3333333333333333,-7.000000000000001,-7.000000000000001,42.53033225859146,0.2907006766132993,42.529650651519155,42.8,0.05677674933063775,0.0018625460543009985,0.05696802318855986,0.06,57.476521098571304,0.05825386959978689,57.46353362764697,57.36363636363636,170.0314829511886,0.9878146183784234,170.08483999363585,171.86145454545485
MCL,0.1,0.02,0.37254464285714284,43623.054077179724,44.05449743025698,8.51698105706798,0.3333333333333333,-7.000000000000001,0.3333333333333333,33.39216175893117,0.26421161026022943,33.37222038216245,33.5,0.058852506831653405,0.003108653304286627,0.05861635479231572,0.06,92.99089750527455,0.17366797547498672,92.99135439260564,92.94117647058823,10.09421114636414,1.753065258966848,10.097558361724376,10.378431372549025
LCL,0.1,0.04,0.5207589285714286,59727.05813319287,235.3216797157033,5.529195512523232,0.6666666666666666,-5.333333333333333,-5.333333333333333,42.40465767956559,0.23653485012344017,42.38722729333419,42.8,0.04755974200244166,0.00751057839100046,0.04919909808823869,0.06,57.854797430952125,0.3361435289003542,57.78014241603435,57.36363636363636,164.41916848920678,5.822419644764074,165.51651495121055,171.86145454545485
MCL,0.1,0.04,0.39125,63428.686757101714,36.206904903445285,4.755093859705627,0.6666666666666666,-5.333333333333333,0.6666666666666666,33.32939474382356,0.2497028153491514,33.31680577998809,33.5,0.05262941272283303,0.01118507697603689,0.050728907940088684,0.06,91.71287594295377,0.7772727991889866,91.82372017200858,91.15384615384615,32.62802416284354,10.041412444685923,31.32777568962833,40.71538461538473
LCL,0.1,0.06,0.4602678571428571,49642.13682902045,237.8520081134567,2.2261871381119707,0.9999999999999998,-3.999999999999999,-3.999999999999999,42.60232202747573,0.26073609708164297,42.6052547778207,42.8,0.04184202678096074,0.012437947084969269,0.04162771860646139,0.06,58.25260327212443,0.5760803531229988,58.15873956142681,57.36363636363636,155.11958752430152,16.405547660906695,154.51339476042153,171.86145454545485
MCL,0.1,0.06,0.3787946428571428,58902.19443222433,359.6775083791107,1.1858430337104175,0.9999999999999998,-3.999999999999999,0.9999999999999998,33.602455827830404,0.19540154351064895,33.5976145187194,33.5,0.05344529729153291,0.022161494779620115,0.051345625086425824,0.06,88.6393205406344,1.617700754927515,88.57520149656047,89.43396226415094,127.98301296056546,43.60061340333249,123.89846089853694,89.88113207547178
LCL,0.1,0.08,0.47580357142857144,49920.440845857534,65.87326802473085,-0.2102320516793985,1.6666666666666665,-2.999999999999999,-2.999999999999999,43.21236281481624,0.21518079492961542,43.22711038410411,42.8,0.038132289545239235,0.013242926346809828,0.03507832765812844,0.06,58.23298438488162,0.6143082326530341,58.104153349343136,57.36363636363636,162.11532725991947,24.71146389028541,160.4124880219325,171.86145454545485
MCL,0.1,0.08,0.4197321428571429,45940.68486822321,57.78536489969974,0.8792048509580886,1.6666666666666665,-2.999999999999999,1.6666666666666665,33.82706542392732,0.2125246929119532,33.8134014089438,33.5,0.04762704141246313,0.01877986753965256,0.04614722341473902,0.06,88.13784828449838,1.4153294828787415,87.82856530196135,87.77777777777777,154.7615987290923,44.06936493678821,149.8677738831762,147.02777777777814
LCL,0.1,0.1,0.4418303571428571,43577.67035248544,144.34322530835712,-3.100826978380704,2.3333333333333326,-1.9999999999999996,-1.9999999999999996,42.34894280235518,0.2723435967302708,42.34351687332729,42.8,0.04231912084550188,0.015391242343208262,0.04057061196730864,0.06,58.50372057505863,0.7489194521574108,58.40698117140529,57.36363636363636,141.95729966579566,29.056609270857827,143.95343045633012,171.86145454545485
MCL,0.1,0.1,0.39821428571428574,33240.10343441423,28.539432524788772,-0.2581158763528527,2.3333333333333326,-1.9999999999999996,2.3333333333333326,33.21344833447255,0.23768400856594155,33.211329116568436,33.5,0.04404891640577439,0.017284071448630076,0.0424255861898246,0.06,88.06595863522404,1.3531112647081507,87.8342329961035,86.18181818181817,159.18837337782458,42.002543876309886,158.61720446304716,202.09636363636406
