lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.02,0.02,0.5486607142857143,151666.01281118413,112.91283391087883,4.666666666666666,-7.000000000000001,-1.9999999999999996,42.98877264484207,0.38279735432712914,43.01970707198933,42.8,0.06141643133632756,0.0017473582466030655,0.06146338426111593,0.06,61.825392053602606,0.04087147902160346,61.82416504438462,61.86274509803921,8.959454988266398,0.21936196743644543,8.951004399600679,8.825751633986991
0.02,0.04,0.5391071428571429,55244.31891067455,68.98988924017121,4.666666666666666,-5.0,-1.9999999999999996,42.979881447906735,0.44366302580510547,42.98910187633025,42.8,0.06079722030263316,0.0019899317849153718,0.06075210790904653,0.06,61.857898399082075,0.04247428743710604,61.85611176642274,61.86274509803921,8.761675813101663,0.29329392618271244,8.772346747839972,8.825751633986991
0.02,0.06,0.5329017857142857,5146.00899852185,393.76291565224284,5.0,-2.999999999999999,-1.9999999999999996,42.35525299173048,0.344377956188499,42.35250758217898,42.8,0.05717480011453583,0.0019533617082922493,0.05719503672317751,0.06,61.91896076701232,0.04974768690085413,61.91855566335536,61.86274509803921,8.648431827187972,0.4002742831255662,8.642379153899421,8.825751633986991
0.02,0.08,0.4966517857142857,9635.730450294073,75.9717241150431,5.333333333333333,-1.3333333333333333,-1.3333333333333333,42.82600094909713,0.29695308947092985,42.8164090394926,42.8,0.061058360768776,0.0028600266240472183,0.06112230923350811,0.06,61.82007559209,0.09435807920192382,61.82122692262708,61.86274509803921,9.58805514434131,0.9838873765401076,9.550884819106601,8.825751633986991
0.02,0.1,0.34732142857142856,36341.75848281997,116.37375021459555,6.000000000000001,0.0,0.0,42.538189849994495,0.2775443182591051,42.55491355670838,42.8,0.054815388027931226,0.004706966155957712,0.05464528151839526,0.06,62.04419181391947,0.17897891075560218,62.050956823421195,61.86274509803921,6.909148416238102,2.259952006288942,6.862152715935155,8.825751633986991
0.04,0.02,0.5425,48810.23240159423,92.14306765281458,3.6666666666666656,-7.000000000000001,-3.999999999999999,43.043425369555614,0.3632922226401372,43.05225436898059,42.8,0.058699441430803335,0.0019262133949416867,0.05869429260761172,0.06,60.7375625192636,0.04371157889168793,60.73928460557193,60.67307692307692,34.36807786200129,0.2553231244957285,34.370372024235465,34.6241025641027
0.04,0.04,0.5540625,5635.691707903085,23.853523459280876,3.6666666666666656,-5.0,-3.999999999999999,42.68841933676534,0.35882260328282023,42.69840887412921,42.8,0.05841482596728106,0.0019014180155792991,0.058389675263510916,0.06,60.72673430722199,0.044858932607838985,60.72631395815302,60.67307692307692,34.139926861079005,0.34776187502431233,34.136988716121905,34.6241025641027
0.04,0.06,0.5025892857142857,9277.470658951434,169.82224651670347,3.999999999999999,-2.999999999999999,-2.999999999999999,42.5646467898913,0.2931647358475095,42.55806088792627,42.8,0.05956538477914709,0.0031341797613879223,0.05961639379793832,0.06,60.66953213518907,0.10455028294348057,60.67101546116311,60.67307692307692,34.984004975078165,1.1606045071390294,34.93435373194081,34.6241025641027
0.04,0.08,0.5296875,37525.14424854476,39.27893025385183,4.333333333333333,-1.3333333333333333,-1.3333333333333333,42.249620215089145,0.2865688409174931,42.24067200036746,42.8,0.049873417056259785,0.007653567006926926,0.0495170336178168,0.06,61.06500025833104,0.3180367892498511,61.088352281305106,60.67307692307692,29.28865499412556,4.5117036139059365,28.874044831159182,34.6241025641027
0.04,0.1,0.39040178571428574,63301.64101205037,1676.1132311764168,5.0,0.0,0.0,42.891834000541934,0.2372539273656073,42.90337423529315,42.8,0.07395635454963621,0.02356306170445583,0.07165057788511099,0.06,60.0118558610526,1.124625132190931,60.12988740895213,60.67307692307692,46.5550508870297,20.10361731357383,43.72862415837896,34.6241025641027
0.06,0.02,0.5545089285714285,11646.819712217957,33.62273086616189,2.3333333333333326,-7.000000000000001,-5.666666666666667,43.37427965371767,0.34689828986204974,43.38103783890162,42.8,0.06029324471623665,0.0018610119200511766,0.060224927560146954,0.06,59.57377376120591,0.04586855860804732,59.57286259649992,59.52830188679245,75.9433544212395,0.35668096866218296,75.95071235239959,76.43433962264179
0.06,0.04,0.5621428571428572,9039.574815159103,69.12905918286009,2.666666666666666,-5.0,-5.0,43.090784650826954,0.2990949724562832,43.06970990651989,42.8,0.06222395546722611,0.0026955105114147312,0.062170504436907296,0.06,59.437175471152656,0.08649457919988275,59.43628408353314,59.52830188679245,77.87978688364164,0.972219281703724,77.90676676774892,76.43433962264179
