,time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
0,0.0,0.33294731203480193,-0.3115215622770784,2.430273693685006,0.2361394859781102,-0.086765693097551,-0.3794719437888936,0.0,0.0,0.0,0.0
1,1.0,0.33282796375226587,-0.31021599816197476,2.433894700890901,0.2312938055564811,-0.08222168022826269,-0.37695965947649546,0.0,0.0,0.0,0.0
2,2.0,0.33396342346718283,-0.3111346805003977,2.432773044184087,0.2275548067092878,-0.078285005487303,-0.3741889782364742,0.0,0.0,0.0,0.0
3,3.0,0.3331337071000024,-0.3099731646433189,2.4336274871685615,0.21987735164737177,-0.07294839153893502,-0.365763996014197,0.0,0.0,0.0,0.0
4,4.0,0.33337495762357255,-0.3111813574122049,2.4335086252332063,0.21432001062731856,-0.0677404419116614,-0.3615778767990594,0.0,0.0,0.0,0.0
5,5.0,0.3333591352188466,-0.3106583237515643,2.4338616985411456,0.2082019527315462,-0.06218412733190921,-0.35674040129180057,0.0,0.0,0.0,0.0
6,6.0,0.3339337648744472,-0.3096073755256257,2.433756369469201,0.2072729320224498,-0.0627155957326038,-0.3575597084050893,0.0,0.0,0.0,0.0
7,7.0,0.33436559657930665,-0.31159989163698565,2.43145793370783,0.21094097426370517,-0.06268973597569186,-0.360424127153803,0.0,0.0,0.0,0.0
8,8.0,0.3347129854930995,-0.3115621657841858,2.430304086174408,0.21293235164129523,-0.0650581365877071,-0.3636557102174631,0.0,0.0,0.0,0.0
9,9.0,0.33558426897090576,-0.312117066242327,2.430261347216068,0.21638254079624664,-0.07027626966361011,-0.37139412932905636,0.0,0.0,0.0,0.0
10,10.0,0.3358429154888629,-0.3115209729299984,2.4305174079853558,0.22174884597402858,-0.07418893306582872,-0.37501304706591526,0.0,0.0,0.0,0.0
11,11.0,0.3363840817928265,-0.31023757899616716,2.4294213185441147,0.22735980356392474,-0.0775432926279088,-0.38188003561057343,0.0,0.0,0.0,0.0
12,12.0,0.33783683464923125,-0.3071166776909697,2.4285012919265565,0.22646265831426854,-0.07612429749264613,-0.3902577341258075,0.0,0.0,0.0,0.0
13,13.0,0.33788659061970744,-0.30583588870100165,2.431378703463694,0.22722632387976055,-0.0740349507950696,-0.39542076641982987,0.0,0.0,0.0,0.0
14,14.0,0.34092827861549707,-0.3039337823661288,2.4307101712646237,0.23072163404300056,-0.07558083170124422,-0.402170026494708,0.0,0.0,0.0,0.0
15,15.0,0.3399849698527222,-0.3031708170489125,2.429567659447481,0.23362128733178839,-0.07851019482535412,-0.4027040058674887,0.0,0.0,0.0,0.0
16,16.0,0.3402766709429781,-0.30240290114543666,2.4296564825024394,0.23723191719731837,-0.08085310382905188,-0.4054991510494329,0.0,0.0,0.0,0.0
17,17.0,0.34186425099519896,-0.30240541533773596,2.430444511076218,0.23729885188930577,-0.08147583825005866,-0.40703934858277435,0.0,0.0,0.0,0.0
18,18.0,0.34134642763966727,-0.3022569205796514,2.4312006492427605,0.2350052663996283,-0.0783526473002404,-0.4089465120048885,0.0,0.0,0.0,0.0
19,19.0,0.34105880027589536,-0.3036547363369059,2.4311936944669497,0.23439944387660752,-0.08226582807121402,-0.4100157968797427,0.0,0.0,0.0,0.0
20,20.0,0.33995860027222735,-0.30441191870987205,2.4316886397830633,0.23490542063652972,-0.0837698776655575,-0.4112830091213986,0.0,0.0,0.0,0.0
21,21.0,0.34081582401024757,-0.3043583280520059,2.433444558208382,0.23241987450710883,-0.08576638226573122,-0.41176594546254264,0.0,0.0,0.0,0.0
22,22.0,0.3389934647622248,-0.30533302298079035,2.4345362749952173,0.2312650669837176,-0.08731144812281116,-0.41292287420640683,0.0,0.0,0.0,0.0
23,23.0,0.3375327773433538,-0.3059390822971532,2.435116088380638,0.2296092541870499,-0.08823618957294421,-0.41331136413354314,0.0,0.0,0.0,0.0
24,24.0,0.33453496661612875,-0.30952515715836054,2.4351670059683643,0.22907314203078516,-0.08966628551404088,-0.4058639001883979,0.0,0.0,0.0,0.0
25,25.0,0.3359296197841256,-0.3101432709770094,2.435807309020858,0.2282753262606051,-0.09082059245096576,-0.40327239150507466,0.0,0.0,0.0,0.0
26,26.0,0.3362166947117107,-0.3108117811513539,2.439085222875997,0.2266227640826246,-0.08760820787615446,-0.3949675539545007,0.0,0.0,0.0,0.0
27,27.0,0.3340375522564058,-0.3102024619606724,2.4370756035663823,0.2219200556774105,-0.08194911096047011,-0.38658643992483493,0.0,0.0,0.0,0.0
28,28.0,0.3328724065480632,-0.3120414718950023,2.433636264585105,0.21325366876693952,-0.06745295366251187,-0.36802765803231763,0.0,0.0,0.0,0.0
29,29.0,0.3354775371742185,-0.3088442573529991,2.4379239100835797,0.2098548762641889,-0.06277245612396815,-0.3630083113111025,0.0,0.0,0.0,0.0
30,30.0,0.3374352799551923,-0.30507153044041313,2.4426816639494002,0.19501977342784074,-0.05143014070354683,-0.3510929944506687,0.0,0.0,0.0,0.0
31,31.0,0.3363365393804846,-0.3092735731070758,2.439398365037437,0.190721101649054,-0.04738152974662359,-0.33869597742036284,0.0,0.0,0.0,0.0
32,32.0,0.3338872886965422,-0.3124718652470025,2.4296313984867393,0.19519611499031778,-0.04524637186747957,-0.3040591056296819,0.0,0.0,0.0,0.0
33,33.0,0.333369684399369,-0.31550925289726967,2.4286698625954934,0.20259098278104043,-0.04556225381652728,-0.28646370967367873,0.0,0.0,0.0,0.0
34,34.0,0.3323688221888743,-0.3143127388945946,2.4254725465977702,0.20972920302651804,-0.04366131179085032,-0.2404822200856225,0.0,0.0,0.0,0.0
35,35.0,0.3223528193168908,-0.3188573017201823,2.4164237801316344,0.1898911338113701,-0.024129021790351285,-0.18296251656374704,0.0,0.0,0.0,0.0
36,36.0,0.32768611937198777,-0.31788415870077635,2.4060903409753456,0.17786635681539323,-0.014287891957278821,-0.15765111051466474,0.0,0.0,0.0,0.0
37,37.0,0.3123859666261692,-0.32355300809111043,2.398443846993841,0.16488511120080418,0.005553347032668674,-0.10293529086086586,0.0,0.0,0.0,0.0
38,38.0,0.30436155284119554,-0.32599925252384243,2.3879412696759856,0.16324906381165033,0.014857065518271444,-0.07365701333263959,0.0,0.0,0.0,0.0
39,39.0,0.2874084098733022,-0.33158495356019524,2.3682268921526686,0.16323897252973224,0.03400045613009128,-0.013675215306150072,0.0,0.0,0.0,0.0
40,40.0,0.2591159334814813,-0.33515916401157536,2.3479003388024475,0.1413896484306885,0.061864411026594,0.04651074751204106,0.0,0.0,0.0,0.0
41,41.0,0.23825272366828137,-0.33667423660914514,2.333680922846772,0.12385845029389445,0.07932218550934554,0.0759260445920446,0.0,0.0,0.0,0.0
42,42.0,0.19075278072797827,-0.3406816514546473,2.301524383167034,0.10788318232259181,0.11126803547822856,0.140725496643043,0.0,0.0,0.0,0.0
43,43.0,0.16802851305998606,-0.3421272858276064,2.282791252740526,0.10032117476093298,0.12878136501475698,0.1730236076511209,0.0,0.0,0.0,0.0
44,44.0,0.112018153316438,-0.3456214036375778,2.2433848207464138,0.07605433193906058,0.16250505781255908,0.23926446601602044,0.0,0.0,0.0,0.0
45,45.0,0.057015912104207596,-0.34838352060488637,2.1970832157657,0.05232886678203009,0.19439440115041207,0.30129312114889556,0.0,0.0,0.0,0.0
46,46.0,0.029746397570647218,-0.35004900534771527,2.175967296826265,0.045340515972552106,0.21193203191858065,0.3299607657397734,0.0,0.0,0.0,0.0
47,47.0,-0.021224598359517278,-0.35337371334487755,2.135191986587695,0.030665795369494257,0.24446133410513907,0.38741327561514316,0.0,0.0,0.0,0.0
48,48.0,-0.04766404253500646,-0.3547569738936072,2.115981202433345,0.014111461469790322,0.25828757674243935,0.41375045587908593,0.0,0.0,0.0,0.0
49,49.0,-0.09400031417783622,-0.35871647507457677,2.077041090206332,-0.021694702045818727,0.28522692688883683,0.46219069069360963,0.0,0.0,0.0,0.0
50,50.0,-0.13668721236383524,-0.36712962604402827,2.045183978151151,-0.04840591202817641,0.311626505473382,0.5036202296454761,0.0,0.0,0.0,0.0
51,51.0,-0.15533890343463036,-0.3699712999795946,2.0296357212343965,-0.061612981173071256,0.32253565667884615,0.5214822766625489,0.0,0.0,0.0,0.0
52,52.0,-0.18746405551694664,-0.3766035675328702,2.0022050957333044,-0.08946933152147697,0.34100639365855145,0.5509796018777722,0.0,0.0,0.0,0.0
53,53.0,-0.20552583245407427,-0.37821969235798325,1.9910361996832164,-0.1047796117105088,0.3494891853606151,0.5652945644438881,0.0,0.0,0.0,0.0
54,54.0,-0.22805266205425412,-0.3817397605917287,1.9710575654719187,-0.12436638264649175,0.3671755703302958,0.5950504802890761,0.0,0.0,0.0,0.0
55,55.0,-0.23863750438904482,-0.3819079872637108,1.9618621761370412,-0.12981029784149645,0.37704728748906036,0.6060553677793998,0.0,0.0,0.0,0.0
56,56.0,-0.25275662991041226,-0.38303224177057593,1.9459862850444436,-0.13776535021490333,0.39130438526807315,0.6300512779280755,0.0,0.0,0.0,0.0
57,57.0,-0.2573595978720459,-0.3835151339515322,1.9394116224589988,-0.14356361300783027,0.399155181867446,0.6402270208394548,0.0,0.0,0.0,0.0
58,58.0,-0.2680410916611009,-0.3826708854834792,1.9280627934542995,-0.15663883412384308,0.408917304024422,0.6570872573908457,0.0,0.0,0.0,0.0
59,59.0,-0.27381890057105235,-0.38179482317872054,1.9219707281945124,-0.16307996791407717,0.4124009827392424,0.6663699031265431,0.0,0.0,0.0,0.0
60,60.0,-0.2806745072371806,-0.3829309895891282,1.912921591256508,-0.1808410339503389,0.4165467300946539,0.6819127942419416,0.0,0.0,0.0,0.0
61,61.0,-0.2829837445372771,-0.3825876091875517,1.907485349869785,-0.18262448256603067,0.4193224112576951,0.6903284481296473,0.0,0.0,0.0,0.0
62,62.0,-0.28651798814769575,-0.3854846830021764,1.9017002189904622,-0.18353759234679118,0.42646209060556245,0.7076593342143337,0.0,0.0,0.0,0.0
63,63.0,-0.28711458343529295,-0.38528748608856883,1.900019182915201,-0.18539119039604648,0.429706398868501,0.7152547591391486,0.0,0.0,0.0,0.0
64,64.0,-0.28846184634370786,-0.3856539356811828,1.9014112345702385,-0.18881698764540358,0.43405205060702534,0.7289235367064164,0.0,0.0,0.0,0.0
65,65.0,-0.28750225160723536,-0.38558120960813047,1.9028155450191102,-0.19077102644914967,0.434869353053671,0.7352863466356429,0.0,0.0,0.0,0.0
66,66.0,-0.286390934323405,-0.38434604423836405,1.9078022399869017,-0.19819491354433588,0.43562216277006605,0.7417017814578164,0.0,0.0,0.0,0.0
67,67.0,-0.28413985327285074,-0.38382505385802435,1.9099960773729152,-0.19781261127864366,0.43550474146463164,0.7412611735665978,0.0,0.0,0.0,0.0
68,68.0,-0.2794229667256296,-0.3822682545962994,1.9156208222814772,-0.19144329999772705,0.43330972375653193,0.731815013308953,0.0,0.0,0.0,0.0
69,69.0,-0.2766526772860985,-0.3826363334696129,1.918457790922383,-0.1802910884389054,0.4327884438500634,0.7248260104445448,0.0,0.0,0.0,0.0
70,70.0,-0.26952549840449347,-0.3852022527899666,1.923948518594317,-0.1578000380233402,0.42784387615432806,0.706954770469297,0.0,0.0,0.0,0.0
71,71.0,-0.26603080372334714,-0.3868192994073123,1.9281652764924109,-0.1489400854462781,0.42346788080084274,0.6961047065061802,0.0,0.0,0.0,0.0
72,72.0,-0.25684770881459534,-0.3879120192764909,1.9355960322319805,-0.12681155866117855,0.41275764737054466,0.6722186255501476,0.0,0.0,0.0,0.0
73,73.0,-0.25170237170890625,-0.3873293925726189,1.9385094689517488,-0.1161660876457973,0.4063825768945874,0.6591290685423535,0.0,0.0,0.0,0.0
74,74.0,-0.24199409168112648,-0.3894083258181784,1.9461049602026632,-0.10224406930884716,0.38977954082102234,0.632467867745046,0.0,0.0,0.0,0.0
75,75.0,-0.23613633861337674,-0.3894863462549325,1.9516249136399475,-0.0973165722334966,0.38167398382092793,0.6188176312733471,0.0,0.0,0.0,0.0
76,76.0,-0.22232404508410145,-0.3920460135871364,1.9650187573636535,-0.08720948147173516,0.3670222712656653,0.5878976436498727,0.0,0.0,0.0,0.0
77,77.0,-0.21559216703340353,-0.3947349737809083,1.9733613323688068,-0.08233496669236687,0.3612332500118645,0.5720802334469202,0.0,0.0,0.0,0.0
78,78.0,-0.19761985019597184,-0.3939589219919511,1.9890655970854925,-0.06114911174926433,0.3473074011411589,0.5360459871339237,0.0,0.0,0.0,0.0
79,79.0,-0.180107206795073,-0.3932566830360657,2.0086003227024825,-0.041043544294177975,0.3307099998737014,0.49510945078098056,0.0,0.0,0.0,0.0
80,80.0,-0.16686226168923324,-0.39326967966073617,2.0184256427614864,-0.025895896947373313,0.3215326003653024,0.4720447201974212,0.0,0.0,0.0,0.0
81,81.0,-0.13932333157771756,-0.39310547724953177,2.0438375861520583,0.012882363035690314,0.2978562267759987,0.4247269863447924,0.0,0.0,0.0,0.0
82,82.0,-0.11765427121512782,-0.39548243761125657,2.056353633227759,0.032820881383607906,0.2849008250995193,0.39969724177271443,0.0,0.0,0.0,0.0
83,83.0,-0.08557939580088984,-0.39632805218681866,2.085161745399008,0.07194204540621717,0.2552073186606063,0.34719353745910847,0.0,0.0,0.0,0.0
84,84.0,-0.0497815600853633,-0.3981832516818802,2.1121063217158493,0.10962245261510428,0.22291460944716013,0.2935665250601177,0.0,0.0,0.0,0.0
85,85.0,-0.03055775001751688,-0.39889166018454403,2.126437499476878,0.12493075800793225,0.20524853973248453,0.26599110796885483,0.0,0.0,0.0,0.0
86,86.0,0.010274177731286907,-0.4011121858584725,2.15569882000798,0.15226169364133518,0.1715348703736626,0.21235377610164627,0.0,0.0,0.0,0.0
87,87.0,0.03066681140309633,-0.4016481678376691,2.1711659973892736,0.16588178555637112,0.15340763119306147,0.18509544862426205,0.0,0.0,0.0,0.0
88,88.0,0.07231103940306235,-0.4016971487222839,2.204867250847171,0.1904837725478371,0.11751385786130478,0.12521687262168538,0.0,0.0,0.0,0.0
89,89.0,0.12314906053478851,-0.39917735258787074,2.245224741145425,0.21977087842119283,0.07811847509363848,0.060177862925968606,0.0,0.0,0.0,0.0
90,90.0,0.14921416962830283,-0.3980136270784941,2.2665219833347168,0.23414864814881062,0.058437978057387555,0.024200690259529853,0.0,0.0,0.0,0.0
91,91.0,0.19931402917291477,-0.39482423686900053,2.31097616854486,0.2582623294772878,0.018285409255339113,-0.05027170817543198,0.0,0.0,0.0,0.0
92,92.0,0.2226171913183097,-0.39165282492721776,2.3317871961357457,0.27316558591532375,-0.0031331777583759805,-0.08302626969279545,0.0,0.0,0.0,0.0
93,93.0,0.25778052185041095,-0.3832343192333137,2.367908964864639,0.30778330033380374,-0.036389680059555174,-0.12981341782437894,0.0,0.0,0.0,0.0
94,94.0,0.2700711746029087,-0.37922775474515963,2.3806438734616213,0.32388291385887247,-0.05141784935874524,-0.14534127154073284,0.0,0.0,0.0,0.0
95,95.0,0.28788910421074243,-0.37270235433532445,2.3949413114502773,0.3453775449713378,-0.0740100086525095,-0.16237627298272292,0.0,0.0,0.0,0.0
96,96.0,0.29423112447059824,-0.3699584968678228,2.398428382017626,0.3503099935613532,-0.0825228555422393,-0.16762586816118105,0.0,0.0,0.0,0.0
97,97.0,0.2997738045640698,-0.367783202145107,2.3988705429819994,0.3522196861030548,-0.09541226237747771,-0.17251579532229647,0.0,0.0,0.0,0.0
98,98.0,0.30316578351881385,-0.3649025194123075,2.3995244441230934,0.3628659349963013,-0.11135615689867075,-0.17803811187258362,0.0,0.0,0.0,0.0
99,99.0,0.305726432205769,-0.365056084718188,2.402586908242149,0.3669594097299175,-0.11888635657613657,-0.18324140185506174,0.0,0.0,0.0,0.0
100,100.0,0.3188417352356794,-0.3610213983183697,2.410390399217109,0.3655105633429274,-0.1370788660059994,-0.19047095081859727,0.0,0.0,0.0,0.0
101,101.0,0.3320841508907685,-0.36313977187763796,2.4299943154848607,0.35816914044108494,-0.15047434384570432,-0.18541354195979798,0.0,0.0,0.0,0.0
102,102.0,0.360615415480582,-0.3679957018498903,2.4528846079837137,0.3318810067351574,-0.1337214517759751,-0.20130054780769982,0.0,0.0,0.0,0.0
103,103.0,0.3722518139706919,-0.3589503448741588,2.4507113940683767,0.3369680730959909,-0.13471549305194344,-0.21639818308801564,0.0,0.0,0.0,0.0
104,104.0,0.3783515413464479,-0.3613968346492854,2.470101992808201,0.33968174428136255,-0.14003565540823454,-0.2259813162287363,0.0,0.0,0.0,0.0
105,105.0,0.3835230788845602,-0.3591114373189893,2.468088502460163,0.3358417520347232,-0.13716143795211977,-0.22634633446689145,0.0,0.0,0.0,0.0
106,106.0,0.3821594796431935,-0.35991287516496145,2.4662838139289183,0.331817594126569,-0.1283821746566322,-0.22221848824716803,0.0,0.0,0.0,0.0
107,107.0,0.3823327423251306,-0.35895093786697574,2.4651967132955606,0.3297738616012354,-0.12685518533077353,-0.22075670593044894,0.0,0.0,0.0,0.0
108,108.0,0.38349184894237703,-0.3564968970889062,2.4663830371306896,0.3302071860700362,-0.12418585182010224,-0.2215504614290352,0.0,0.0,0.0,0.0
109,109.0,0.38107460305223184,-0.35918650164651494,2.4606711157108188,0.32669866567238315,-0.11944993447543444,-0.21902763084518811,0.0,0.0,0.0,0.0
110,110.0,0.37877125142923807,-0.35951376716672234,2.45678307831625,0.32613375491974395,-0.1163909506189009,-0.21582073527233575,0.0,0.0,0.0,0.0
111,111.0,0.3750726442321612,-0.3610447515402982,2.4467056287268707,0.32349696226462715,-0.1124419387584282,-0.20881821830021816,0.0,0.0,0.0,0.0
112,112.0,0.37139401163078295,-0.36181783986245025,2.4422106282973015,0.3187565594815071,-0.10684093893205723,-0.2028615346420989,0.0,0.0,0.0,0.0
113,113.0,0.3616853895570544,-0.36445268682500603,2.427596217320121,0.3094870434563137,-0.09687164985071746,-0.18515788729147883,0.0,0.0,0.0,0.0
114,114.0,0.35489820767756997,-0.3673415162766029,2.416331833805625,0.3056089980336619,-0.08246522629252137,-0.17105105737274046,0.0,0.0,0.0,0.0
115,115.0,0.32485463218833777,-0.37190335961739646,2.3930341107322555,0.3020395268948223,-0.058777042391956455,-0.13552681769490785,0.0,0.0,0.0,0.0
116,116.0,0.30727124025804015,-0.371878271388838,2.3781202440347444,0.2980585553460754,-0.04576092428537932,-0.11575895189841533,0.0,0.0,0.0,0.0
117,117.0,0.2664350821175096,-0.37175272146138355,2.3472294239403233,0.28199774034009084,-0.009162010500660855,-0.06736992239008166,0.0,0.0,0.0,0.0
118,118.0,0.24126795322211095,-0.3686136166539168,2.3283511224514477,0.27191344452246113,0.010138677455196043,-0.04100981790635142,0.0,0.0,0.0,0.0
119,119.0,0.18748548194904618,-0.36271491522255,2.283709326926321,0.24815809109277903,0.05000913868909138,0.022770450681308837,0.0,0.0,0.0,0.0
120,120.0,0.153029552337597,-0.36548317186848206,2.2627888989474445,0.22610262970254166,0.07750017763415909,0.0581582069594844,0.0,0.0,0.0,0.0
121,121.0,0.08461495316975196,-0.3643767807099266,2.2093511175115665,0.17863461418459037,0.1285016110236855,0.13071301985617656,0.0,0.0,0.0,0.0
122,122.0,0.014599518092129778,-0.36776448915875276,2.158711278345527,0.1352933255352894,0.18119352236069894,0.2050371125344083,0.0,0.0,0.0,0.0
123,123.0,-0.022392875517927364,-0.3694392749475248,2.1330029842157407,0.11215200665892873,0.207509442638765,0.2395656744164068,0.0,0.0,0.0,0.0
124,124.0,-0.08958677770463377,-0.37264697811064496,2.084744860701635,0.06330425549538478,0.25562008332700425,0.30702541773161096,0.0,0.0,0.0,0.0
125,125.0,-0.11882034435345966,-0.373639734997483,2.061382261570804,0.038826760836059314,0.27567986351684687,0.3371111635681649,0.0,0.0,0.0,0.0
126,126.0,-0.17580523386325453,-0.372369976795413,2.019128581294999,-0.004196013395754285,0.3139582365478996,0.3879315414941367,0.0,0.0,0.0,0.0
127,127.0,-0.2203693804624368,-0.371333342099499,1.98210454380401,-0.034807039601213126,0.34490567326750887,0.42819178884640974,0.0,0.0,0.0,0.0
128,128.0,-0.23962767552977474,-0.3674883846055078,1.966005151129811,-0.04883740681362738,0.35775096231776443,0.4436995890148127,0.0,0.0,0.0,0.0
129,129.0,-0.27211271411498683,-0.36490063290554686,1.934566878240178,-0.07843542695240606,0.3808513456063343,0.4669209968223265,0.0,0.0,0.0,0.0
130,130.0,-0.28611363454561967,-0.3643767548122399,1.919935132090548,-0.0914122640231259,0.392586451292113,0.4771637953046672,0.0,0.0,0.0,0.0
131,131.0,-0.30193468566879145,-0.36970107446299105,1.8952932844447965,-0.11244783717013435,0.40913458213593473,0.49364787633893464,0.0,0.0,0.0,0.0
132,132.0,-0.31184688132218596,-0.3694183020356159,1.8836669768562406,-0.12458809685466857,0.4141767426735241,0.5005495036991301,0.0,0.0,0.0,0.0
133,133.0,-0.3224265990427281,-0.37079728282472507,1.8659023796519376,-0.14220887194027804,0.42539649917126676,0.5143710545649053,0.0,0.0,0.0,0.0
134,134.0,-0.32713054680064363,-0.3732286533518106,1.8581165168913467,-0.14488531382264597,0.42954734389368043,0.5208259049694814,0.0,0.0,0.0,0.0
135,135.0,-0.33577727364695426,-0.3741911672352704,1.846332197063255,-0.1480239983103174,0.43991340087723707,0.5322254667114106,0.0,0.0,0.0,0.0
136,136.0,-0.3384622893258652,-0.37546427068695243,1.8376288560696794,-0.1429140544692655,0.4522935796973768,0.5408748406649933,0.0,0.0,0.0,0.0
137,137.0,-0.3408782983781705,-0.3757165038044266,1.835401206939399,-0.14128059824194086,0.45891407531425815,0.5461156730992196,0.0,0.0,0.0,0.0
138,138.0,-0.3438126040476586,-0.37531858798540596,1.8331564243037228,-0.14016049053021945,0.46907818746838165,0.5598948293139692,0.0,0.0,0.0,0.0
139,139.0,-0.3440121903272901,-0.37516396510439715,1.8337487675395268,-0.1414118736075923,0.4743161489098433,0.5684356453809302,0.0,0.0,0.0,0.0
140,140.0,-0.34358628748548126,-0.3763347161125076,1.8347770923883433,-0.1412885850395368,0.48021319614838737,0.5862071752654953,0.0,0.0,0.0,0.0
141,141.0,-0.34457739483105454,-0.3783791678038717,1.8318509609440106,-0.13912939527705084,0.4848236397506107,0.5999688511656339,0.0,0.0,0.0,0.0
142,142.0,-0.3449143710243761,-0.3784274494070338,1.8309219178170213,-0.1468047261931925,0.4836628144962589,0.6075560052327799,0.0,0.0,0.0,0.0
