Frame,time,X_rot,Y_rot,Z_rot,W_rot,X_bod,Y_bod,Z_bod,X_mkr1,Y_mkr1,Z_mkr1,X_mkr2,Y_mkr2,Z_mkr2,X_mk3,Y_mkr3,Z_mkr3,X_mkr4,Y_mkr4,Z_mkr4
26,0.216667,-0.001118,0.921240,-0.368871,-0.123488,-184.454086,-451.381592,-1181.282715,-86.624733,42.637119,-665.425354,-12.652946,57.573730,-624.896423,42.342297,47.383442,-657.736145,-26.121498,18.754032,-758.088257
27,0.225000,-0.000996,0.921257,-0.368834,-0.123472,-184.573898,-451.353027,-1181.227417,-86.682426,42.581055,-665.336487,-12.682700,57.557804,-624.859558,42.216290,47.316795,-657.585083,-26.222298,18.725214,-757.943359
28,0.233333,-0.001069,0.921332,-0.368695,-0.123327,-184.319336,-451.192474,-1181.465088,-86.633774,42.629482,-665.403564,-12.728930,57.534954,-624.800171,42.309875,47.386185,-657.664551,-26.143147,18.773851,-758.022888
29,0.241667,-0.000394,0.921096,-0.369259,-0.123411,-184.725571,-451.668701,-1180.899536,-86.507057,42.762264,-665.674194,-12.661143,57.574482,-624.879028,42.315117,47.394405,-657.719482,-26.193113,18.682205,-757.987366
30,0.250000,-0.000387,0.920969,-0.369524,-0.123561,-184.892761,-451.916168,-1180.562256,-86.453278,42.803040,-665.775635,-12.668430,57.575394,-624.869385,42.402130,47.458328,-657.789734,-26.242512,18.694912,-757.898865
31,0.258333,-0.000246,0.921087,-0.369292,-0.123380,-184.772202,-451.647614,-1180.876099,-86.438889,42.802982,-665.789673,-12.694321,57.570660,-624.846619,42.305031,47.437347,-657.679016,-26.236038,18.723822,-757.958801
32,0.266667,-0.000665,0.921172,-0.369025,-0.123541,-184.863327,-451.483002,-1180.968872,-86.688179,42.644028,-665.362366,-12.692103,57.575264,-624.855408,42.186405,47.314297,-657.551819,-26.276112,18.717232,-757.889832
33,0.275000,0.000152,0.921202,-0.369156,-0.122924,-184.402161,-451.490265,-1181.189575,-86.436920,42.795525,-665.838013,-12.700884,57.543030,-624.839539,42.199677,47.364471,-657.590332,-26.137163,18.707767,-758.008118
34,0.283333,-0.000999,0.920983,-0.369472,-0.123611,-184.640366,-451.999451,-1180.570312,-86.624252,42.662376,-665.437744,-12.627898,57.609634,-624.949707,42.398060,47.449753,-657.790100,-26.215511,18.676353,-757.920593
35,0.291667,0.000636,0.921048,-0.369409,-0.123315,-185.211899,-451.641449,-1180.719238,-86.341957,42.873241,-665.997070,-12.731226,57.520245,-624.785156,42.199089,47.355938,-657.589844,-26.343306,18.688343,-757.806946
36,0.300000,0.000227,0.920998,-0.369542,-0.123297,-184.903336,-451.866608,-1180.653687,-86.415199,42.828377,-665.855713,-12.683922,57.548412,-624.858826,42.297867,47.427681,-657.678406,-26.224442,18.645706,-757.968201
37,0.308333,-0.001107,0.921209,-0.368886,-0.123682,-184.739059,-451.372131,-1181.182373,-86.633873,42.652824,-665.432007,-12.652724,57.570095,-624.915161,42.339123,47.394604,-657.705200,-26.202671,18.763411,-758.050232
38,0.316667,-0.001208,0.921248,-0.368842,-0.123516,-184.485275,-451.362274,-1181.281250,-86.631531,42.655823,-665.433716,-12.696598,57.542271,-624.850342,42.285793,47.405712,-657.729919,-26.166773,18.742626,-758.060059
39,0.325000,-0.001767,0.921165,-0.368954,-0.123796,-184.566208,-451.601837,-1180.992188,-86.730751,42.578812,-665.239441,-12.752710,57.473553,-624.819519,42.391029,47.439198,-657.785645,-26.243444,18.703070,-757.958679
40,0.333333,0.000226,0.921151,-0.369196,-0.123187,-184.765625,-451.477386,-1181.065063,-86.389977,42.832035,-665.929077,-12.705904,57.545612,-624.832764,42.318359,47.382179,-657.668030,-26.206896,18.733667,-757.946960
41,0.341667,0.000492,0.921182,-0.369105,-0.123224,-185.000107,-451.338440,-1181.102905,-86.428497,42.812508,-665.810547,-12.691312,57.558048,-624.851379,42.204922,47.308838,-657.574890,-26.248400,18.739897,-757.914490
42,0.350000,-0.000645,0.921225,-0.368910,-0.123491,-184.740433,-451.328949,-1181.221558,-86.641869,42.667393,-665.417847,-12.578176,57.649628,-625.019348,42.213043,47.314018,-657.578003,-26.140844,18.769844,-758.086182
43,0.358333,-0.000645,0.920827,-0.369808,-0.123772,-185.035172,-452.260590,-1180.153076,-86.492569,42.786793,-665.723083,-12.636169,57.587730,-624.924011,42.395599,47.501137,-657.810608,-26.309258,18.657347,-757.822815
44,0.366667,-0.001242,0.921159,-0.369068,-0.123503,-184.431229,-451.613556,-1181.025757,-86.671646,42.651081,-665.371216,-12.679579,57.572063,-624.864807,42.301414,47.437599,-657.680542,-26.161697,18.720898,-758.048462
45,0.375000,-0.001373,0.920856,-0.369663,-0.123984,-184.960999,-452.275513,-1180.154419,-86.681252,42.642666,-665.345764,-12.664297,57.596523,-624.893311,42.401348,47.454395,-657.793274,-26.302486,18.630648,-757.834900
46,0.383333,-0.001101,0.921149,-0.369099,-0.123489,-184.473129,-451.613129,-1181.018677,-86.621063,42.660362,-665.450256,-12.639939,57.596481,-624.930237,42.293102,47.429165,-657.667786,-26.166172,18.733759,-758.043945
47,0.391667,-0.001009,0.921041,-0.369332,-0.123597,-184.679520,-451.856567,-1180.683838,-86.647842,42.678413,-665.424316,-12.658413,57.581593,-624.906494,42.286358,47.426620,-657.716858,-26.247143,18.674549,-757.902405
